소방서 및 안전센터명,주소,X좌표,Y좌표,구이름,동이름
중부소방서_대구-남산-119 안전센터,대구광역시 중구 달구벌대로 1926,35.862557,128.575188,중구,남산
중부소방서_대구-서문로-119 안전센터,대구광역시 중구 경상감영길 45,35.8715329,128.5899696,중구,서문로
중부소방서_대구-대신-119 안전센터,대구광역시 중구 큰장로26길 45,35.8688788,128.5807617,중구,대신
중부소방서_대구-삼덕-119 안전센터,대구광역시 중구 공평로 35,35.8671907,128.5996645,중구,삼덕
중부소방서,대구광역시 중구 달구벌대로 1926,35.862557,128.575188,중구,남산
수성소방서-상동-119 안전센터,대구광역시 수성구 파동로51길 5 상동119안전센터,35.8250934,128.6093747,수성구,상동
수성소방서,대구광역시 수성구 청호로 87,35.8255278,128.6443835,수성구,범물
수성소방서-무열로-119 안전센터,대구광역시 수성구 무열로 139,35.87079,128.64815,수성구,무열로
수성소방서-수성-119 안전센터,대구광역시 수성구 들안로60길 30,35.856757,128.62085,수성구,수성
수성소방서-만촌-119 안전센터,대구광역시 수성구 달구벌대로 2658,35.8553405,128.6521084,수성구,만촌
수성소방서-고산-119 안전센터,대구광역시 수성구 고산로 105,35.8403196,128.7045373,수성구,고산
수성소방서-황금-119 안전센터,대구광역시 수성구 동대구로12길 41,35.8354932,128.6264246,수성구,황금
수성소방서-범물-119 안전센터,대구광역시 수성구 청호로 87,35.8255278,128.6443835,수성구,범물
서부소방서,대구광역시 서구 달서천로 186,35.8818837,128.5544996,서구,평리
서부소방서_대구-비산-119 안전센터,대구광역시 서구 달서로 206,35.8804392,128.5720345,서구,비산
서부소방서_대구-이현-119 안전센터,대구광역시 서구 국채보상로 119,35.8690829,128.5441489,서구,이현
서부소방서_대구-평리-119 안전센터,대구광역시 서구 달서천로 186,35.8818837,128.5544996,서구,평리
서부소방서_대구-내당-119 안전센터,대구광역시 서구 서대구로3길 16,35.8594298,128.5552638,서구,내당
북부소방서_대구-침산-119 안전센터,대구광역시 북구 침산남로 149,35.8883496,128.5922483,북구,침산
북부소방서_대구-산격-119 안전센터,대구광역시 북구 유통단지로8길 88,35.9060774,128.614247,북구,산격
북부소방서_대구-무태-119 안전센터,대구광역시 북구 호국로43길 21,35.9209169,128.5969011,북구,무태
북부소방서_대구-복현-119 안전센터,대구광역시 북구 동북로 245,35.8953863,128.6181969,북구,복현
북부소방서_대구-대현-119 안전센터,대구광역시 북구 대현로 105,35.8824217,128.6106205,북구,대현
서부소방서_대구-읍내-119 안전센터,대구광역시 북구 칠곡중앙대로 570,35.9464889,128.5515261,북구,읍내
북부소방서,대구광역시 북구 칠성남로 112,35.8779748,128.5922971,북구,칠성
북부소방서_대구-노원-119 안전센터,대구광역시 북구 노원로 42,35.8921502,128.5673912,북구,노원
서부소방서_대구-태전-119 안전센터,대구광역시 북구 칠곡중앙대로 184,35.9123206,128.548797,북구,태전
북부소방서_대구-칠성-119 안전센터,대구광역시 북구 칠성남로 112,35.8779748,128.5922971,북구,칠성
서부소방서_대구-동천-119 안전센터,대구광역시 북구 구암로 155,35.931941,128.5578288,북구,동천
동부소방서_대구-공산-119 안전센터,대구광역시 동구 팔공산로 1579,35.962767,128.6977513,동구,공산
동부소방서_대구-신천-119 안전센터,대구광역시 동구 동대구로 507,35.8760907,128.6251739,동구,신천
동부소방서_대구-동촌-119 안전센터,대구광역시 동구 해동로 180,35.8866965,128.6484933,동구,동촌
동부소방서,대구광역시 동구 동대구로 507,35.8760907,128.6251739,동구,신청
동부소방서_대구-안심-119 안전센터,대구광역시 동구 반야월로 291,35.8721648,128.7204102,동구,안심
동부소방서_대구-불로-119 안전센터,대구광역시 동구 팔공로50길 19,35.9219951,128.6439421,동구,불로
동부소방서_대구-율하-119 안전센터,대구광역시 동구 율하동로8길 5,35.8620298,128.7019657,동구,율하
달성소방서-구지-119 안전센터,대구광역시 달성군 구지면 달성2차로 111,35.6400521,128.4189803,달성군,구지
강서소방서_대구-다사-119 안전센터,대구광역시 달성군 다사읍 달구벌대로 920,35.8554417,128.4674366,달성군,다사
달성소방서-현풍-119 안전센터,대구광역시 달성군 현풍면 비슬로 480,35.6826279,128.4469746,달성군,현풍
강서소방서_대구-매곡-119 안전센터,대구광역시 달성군 다사읍 달구벌대로 753,35.8611492,128.4541256,달성군,매곡
강서소방서,대구광역시 달성군 다사읍 달구벌대로 920,35.8554417,128.4674366,달성군,다사
달성소방서,대구광역시 달성군 현풍면 비슬로 480,35.6826279,128.4469746,달성군,현풍
달성소방서-논공-119 안전센터,대구광역시 달성군 논공읍 논공중앙로33길 5,35.7300884,128.4530232,달성군,논공
달성소방서-화원-119 안전센터,대구광역시 달성군 화원읍 화암로 122,35.79876,128.5018001,달성군,화원
달서소방서-송현-119 안전센터,대구광역시 달서구 월배로 262,35.8200211,128.542026,달서구,송현
달서소방서-본리-119 안전센터,대구광역시 달서구 대명천로 134,35.8396937,128.5450815,달서구,본리
달서소방서-도원-119 안전센터,대구광역시 달서구 도원로 8,35.8090018,128.5356389,달서구,도원
달서소방서-월성-119 안전센터,대구광역시 달서구 학산로 75,35.831088,128.5347565,달서구,월성
달서소방서,대구광역시 달서구 학산로 75,35.831088,128.5347565,달서구,월성
강서소방서_대구-성서-119 안전센터,대구광역시 달서구 성서로 357,35.8495073,128.506873,달서구,성서
강서소방서_대구-죽전-119 안전센터,대구광역시 달서구 와룡로 222,35.8525899,128.537634,달서구,죽전
강서소방서_대구-대천-119 안전센터,대구광역시 달서구 달서대로58길 129,35.8249447,128.5067496,달서구,대천
중부소방서_대구-명덕-119 안전센터,대구광역시 남구 명덕로34길 22,35.8555084,128.5872111,남구,명덕
중부소방서_대구-봉덕-119 안전센터,대구광역시 남구 희망로3길 29,35.8490502,128.5992964,남구,봉덕
중부소방서_대구-대명-119 안전센터,대구광역시 남구 현충로15길 21-81,35.8374047,128.5790738,남구,대명
중부소방서_대구-성명-119 안전센터,대구광역시 남구 대명남로 12-1,35.8334026,128.5601525,남구,성명
